"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:33:55.935708","False",9.4,84.2,"1.1G",243,41.5,"278.4G"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232","2025-09-29 13:34:06.062582","False",7.3,84.4,"1.1G",244,41.5,"278.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:19:03.186166","True",0,51.3,"7.6G",215,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:19:15.258744","True",0,50.1,"7.8G",215,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:19:26.374186","True",1.2,49.5,"7.9G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:19:37.476058","True",1.1,49.5,"7.9G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:19:48.630775","True",3.1,49.4,"7.9G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:19:59.727118","True",1.9,49.4,"7.9G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:20:10.804814","True",0,49.3,"8.0G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:20:21.889259","True",0,49.3,"8.0G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:20:32.950981","True",0,48.6,"8.1G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:20:44.007125","True",0,47.6,"8.2G",214,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:20:55.060742","True",7.5,47.6,"8.2G",214,20.1,"380.4G"
