"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:35:54,0,5.2,86.5,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:38:11,0,17.5,86.8,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:40:26,0,5.7,87.2,,239,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:42:43,0,,87.3,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:44:59,0,5.6,87.5,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:30:37,0,,87.6,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:32:55,0,6.1,87.6,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:35:11,0,7.8,87.6,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:37:29,0,8.8,87.6,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:39:45,0,3.8,87.6,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:42:02,0,14.5,87.1,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:44:20,0,,87.2,,240,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:46:37,0,7.3,87.9,,241,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:32:15,0,4.1,83.8,,243,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:34:30,0,10.2,83.9,,241,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:36:46,0,2,83.9,,241,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:39:03,0,4.3,83.9,,241,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:41:19,0,,83.9,,241,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:43:35,0,66.7,87.7,,246,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:45:55,0,39.6,86,,247,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:31:42,0,47.3,87.6,,246,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:34:08,0,,87.7,,246,41.5,
"c123720288cccef17e820c224085856f82307f89816a9aedea2fbd18ff064232",2025-09-29 13:36:25,0,7.4,87.9,,249,41.5,
